Event Name,Event Type,Date,Location,Registration Deadline
2024 第二十三屆馬來西亞MTE國際發明展,線上展,2024/02/22(四)~24(六),吉隆坡,2024年01月12日(五)
2024 第二十七屆俄羅斯莫斯科阿基米德國際發明展,線上展,2024/03/19(二)~21(四)
2024 第三十八屆日本東京創新天才國際發明展,實體展,2024/05/09(四)~10(五)
2024 捷克發明展,線上展,2024/06/12(三)~13(四),Trines Werk Arena,2024年04月19日(五)
2024 新加坡國際發明展,,2024/07/09(二)~11(四),Singapore Expo Hall 3B,2024年04月30日(二)
2024 馬來西亞MTE尖端醫療保健和生命科學國際發明展,線上展,2024/08/07(三)~09(五)
2024 第十屆韓國WiC世界創新發明大賽,,2024/08/17(六)~18(日),首爾 Youth and Student Center for World Peace (Yspace),2024年06月30日(日)
2024 第五屆美國AII達文西國際發明展,線上展,2024/09/04(三)~05(四),美國SUU南猶他大學 國際會議中心,2024年04月30日(二)
2024 第二十屆烏克蘭國際發明展,線上展,2024/09/26(四)~28(六),塞瓦斯托波爾,2024年08月31日(六)
2024 第十八屆波蘭華沙國際發明展,,2024/10/14(一)~16(三),華沙科技大學,2024年08月30日(五)
2024 賽普勒斯國際發明展,線上展,2024/10/15(二)~16(三),Limassol,2024年09月06日(五)
2024 馬來西亞MTE SDG永續發展目標國際發明展,線上展,2024/10/16(三)~18(五),吉隆坡,2024年08月30日(五)
2024 第十五屆IIIC國際創新發明競賽,,,茹曦酒店ILLUME TAIPEI 2F茹曦廳,即日起至10/02(三)
2024 第十一屆IIDC香港創新科技國際發明展,線上展,2024/12月,香港會議展覽中心 (灣仔),即日起至2024年09月27日(五)
